CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,29.53,14.6
0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
0.12083,0,2.89,0,0.445,8.069,76,3.4952,2,276,18,4.21,38.7
8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94,13.5
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,13.61,19.3
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,31.99,7.4
14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,19.78,27.5
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13,21.7
0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,5.04,37.2
0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4
0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,8.01,21.1
0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,5.91,48.8
0.24103,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,12.79,22.2
0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,22
0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
0.43571,0,10.59,1,0.489,5.344,100,3.875,4,277,18.6,23.09,20
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,21.6
0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1
0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43,24.1
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,16.21,18.8
11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,23.27,13.4
6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,19.31,13
6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,17.79,14.9
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,8.94,21.4
0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5
15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13,19.1
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
0.08308,0,2.46,0,0.488,5.604,89.8,2.9879,3,193,17.8,13.98,26.4
0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16,43.5
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,30.62,10.2
7.40389,0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,26.4,17.2
8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17,13.8
0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,11.12,23
10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,25.79,7.5
0.04544,0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,9.09,19.8
0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7
4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87,19.6
0.01381,80,0.46,0,0.422,7.875,32,5.6484,4,255,14.4,2.97,50
9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53,50
0.03738,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,6.75,20.7
0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,6.68,32
0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,5.68,32.5
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,5.77,24.7
8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85,11.5
0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,13,21.1
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,13.2
2.3004,0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,11.1,23.8
0.32982,0,21.89,0,0.624,5.822,95.4,2.4699,4,437,21.2,15.03,18.4
0.05789,12.5,6.07,0,0.409,5.878,21.4,6.498,4,345,18.9,8.1,22
5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73,50
0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55,23.7
0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,4.16,33.1
0.09065,20,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,13.65,20.7
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,12.8,18.4
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7
6.39312,0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,24.1,13.3
9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85,15.4
0.06724,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,7.34,22.6
0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,3.56,37.3
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28,14.8
3.53501,0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,15.02,15.6
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4
13.6781,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,34.02,8.4
0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,12.33,20.1
0.20746,0,27.74,0,0.609,5.093,98,1.8226,4,711,20.1,29.68,8.1
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307,21,22.6,12.7
2.3139,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,12.03,19.1
0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7
0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76,31.5
0.03466,35,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,7.83,19.4
0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28,23.8
0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,5.57,20.6
0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5,16.2
0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24
0.1403,22,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,5.9,24.4
0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,7.53,28.2
0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,7.79,36
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,6.72,24.8
0.04011,80,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,4.08,33.3
0.12932,0,13.92,0,0.437,6.678,31.1,5.9604,4,289,16,6.27,28.6
24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,28.28,10.5
2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1,20.3
0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,8.1,36.5
0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
1.12658,0,19.58,1,0.871,5.012,88,1.6102,5,403,14.7,12.12,15.3
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19,33.2
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,10.27,20.8
0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,8.65,16.5
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,6.73,22.2
0.2896,0,9.69,0,0.585,5.39,72.9,2.7986,6,391,19.2,21.14,19.7
0.09604,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,2.98,32
11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,15.02,16.7
0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,5.25,31.7
8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,17.12,13.1
0.02177,82.5,2.03,0,0.415,7.61,15.7,6.27,2,348,14.7,3.11,42.3
11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74,8.4
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8
0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82,37.9
0.32543,0,21.89,0,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18
18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97,13.8
0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5,17.6
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51,22.9
0.27957,0,9.69,0,0.585,5.926,42.6,2.3817,6,391,19.2,13.59,24.5
0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,27.26,15.7
6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44,13.4
4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5
0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,12.13,27.9
0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,5.19,23.7
2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34,20.6
51.1358,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,10.11,15
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8
0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08,24.6
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,11.69,20.2
23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,23.69,13.1
8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64,14.5
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,20.5
0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,9.71,26.7
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2
1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50
9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3
0.52058,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,9.54,25.1
0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25
5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48,22.7
9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81,25
14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32,7.2
0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,25.68,9.7
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3
0.13554,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,13.09,17.4
0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3
8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88,50
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
0.11069,0,13.89,1,0.55,5.951,93.8,2.8893,5,276,16.4,17.92,21.5
9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,20.31,12.1
0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,17.19,16.2
0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,10.53,17.5
3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94,33.4
4.81213,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,16.42,16.4
0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,9.51,24.8
0.05083,0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,5.68,22.2
0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,5.89,26.6
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,11.28,18.2
3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,14.36,23.2
24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,19.77,8.3
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,20
10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67,22.6
4.0974,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,26.42,15.6
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,20.45,15
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,3.57,43.8
0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,7.7,20.4
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,14.5
0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03,31.1
7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29,13.4
0.19657,22,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,10.15,20.5
20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
