surgery,age,"rectal_temp
Ö±³¦ÎÂ¶È","pulse
Âö²«","temp_of_extremities
ËÄÖ«ÎÂ¶È","peripheral_pulse
ÖÜÎ§Ñª¹Ü²«¶¯","mucous_membrane
Õ³Ä¤","capillary_refill_time
Ã«Ï¸Ñª¹ÜÔÙ³äÓ¯Ê±¼ä","peristalsis
³¦Èä¶¯","abdominal_distention
¸¹ÕÍ","nasogastric_tube
±ÇÎ¸¹Ü","nasogastric_reflux
·´Á÷Î¸Òº","rectal_exam_feces
Ö±³¦Ö¸¼ì·à±ã","abdomen
¸¹²¿","packed_cell_volume
ºìÏ¸°ûÑ¹»ý",total_protein,"abdomo_appearance
¸¹Ç»´©´Ì",abdomo_protein,"surgical_lesion
ÊÖÊõ²¡±ä",outcome
1,2,37.4,84,3,0,2,2,3,1,0,0,0,3,0,0,3,0,1,0
0,2,0,0,3,2,2,1,3,0,0,0,3,4,43,7.7,0,0,0,1
0,2,38.6,40,0,0,0,1,0,0,0,0,0,0,41,6.4,0,0,0,1
0,2,40.3,114,2,1,1,2,3,2,1,0,2,3,57,8.1,3,4.5,1,0
1,1,38.6,160,2,0,4,1,3,3,2,0,0,0,38,0,2,0,1,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,24,6.7,0,0,1,1
1,2,0,64,4,0,1,1,3,2,1,1,0,0,42,7.7,0,0,1,0
1,2,0,0,1,1,2,0,0,2,1,0,0,3,53,5.9,3,0,1,0
0,2,0,96,2,1,2,2,0,3,0,1,0,3,60,0,0,0,1,0
0,2,37.8,48,3,2,2,1,3,0,0,0,0,3,37,6.7,0,0,0,1
0,2,38.5,60,4,3,1,1,2,1,1,0,2,1,44,7.7,0,0,0,1
1,2,37.8,88,4,2,1,1,0,0,1,0,0,0,64,8,1,6,1,0
0,2,38.2,130,1,1,3,2,0,3,0,0,0,0,65,82,2,2,0,0
1,2,39,64,2,2,3,2,3,1,0,1,0,3,44,7.5,3,5,1,1
1,2,0,60,2,2,2,1,3,1,0,0,1,3,26,72,2,1,1,1
0,2,37.9,72,3,2,4,2,3,0,0,2,1,3,58,74,1,2,1,1
0,2,38.4,54,3,2,1,1,3,0,1,0,1,4,49,7.2,1,0,0,1
0,2,0,52,3,0,2,1,0,0,1,2,0,0,55,7.2,0,0,0,1
0,2,38,48,3,2,1,1,3,0,0,0,1,4,42,6.3,2,4.1,0,1
0,2,37,60,2,0,0,1,0,2,1,1,0,3,43,7.6,0,0,1,0
1,2,37.8,48,3,2,1,1,2,0,1,0,2,1,46,5.9,2,7,0,1
1,2,37.7,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,38.1,52,3,2,4,1,3,0,1,2,2,0,54,7.5,2,2.6,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,37,4.9,0,0,1,0
1,1,39.7,100,2,1,4,2,3,0,0,0,0,0,48,57,2,2,1,0
1,2,37.6,38,2,1,1,1,3,1,0,0,1,0,37,68,0,0,1,1
0,2,38.7,52,4,0,1,1,3,0,0,0,2,1,33,77,0,0,0,1
1,2,0,0,2,1,2,3,3,2,2,1,0,3,46,5.9,0,0,1,0
1,2,37.5,96,3,1,3,2,0,1,1,2,0,3,69,8.9,3,0,1,1
1,2,36.4,98,2,1,3,1,3,1,0,0,0,3,47,6.4,3,3.6,1,0
1,2,37.3,40,0,1,1,1,3,1,2,0,1,3,36,0,3,2,1,1
1,1,38.1,100,2,2,1,1,0,0,0,0,2,0,36,5.7,0,0,1,1
1,2,38,0,2,1,3,2,0,3,0,0,0,0,68,7.8,0,0,1,0
1,2,37.8,60,3,1,1,2,3,2,0,1,0,0,40,4.5,2,0,1,1
0,2,38,54,4,1,2,3,3,1,1,1,0,3,45,6.2,0,0,0,1
1,2,0,88,2,1,3,2,0,2,2,0,0,3,50,7.7,3,1.4,1,0
0,2,0,40,0,0,0,1,0,0,0,0,0,0,50,7,2,3.9,1,0
0,2,39,64,3,2,4,1,3,1,1,0,1,2,42,7.5,2,2.3,0,1
0,2,38.3,42,3,2,1,1,3,0,0,0,0,0,38,61,0,0,0,1
0,2,38,52,0,0,0,0,0,0,0,2,2,1,53,86,0,0,1,1
0,2,40.3,114,2,1,1,2,3,2,1,0,2,3,57,8.1,3,4.5,1,0
0,2,38.8,50,2,2,1,1,3,0,1,0,1,1,42,6.2,0,0,0,1
0,2,0,0,2,1,1,1,3,2,0,0,0,3,38,6.5,0,0,1,0
0,2,37.5,48,1,2,2,1,2,0,0,0,2,1,48,8.6,0,0,0,1
1,2,37.3,48,0,2,1,1,3,2,1,0,1,3,41,69,0,0,1,1
0,2,0,84,0,0,2,1,3,0,1,0,1,4,44,8.5,0,0,1,1
1,2,38.1,88,2,1,3,1,3,2,0,2,0,3,55,60,0,0,0,0
0,2,37.7,44,4,2,2,1,3,1,0,0,2,3,41,60,0,0,0,1
0,2,39.6,108,2,1,3,2,0,2,0,1,1,3,59,8,2,2.6,0,1
1,2,38.2,40,2,1,1,1,3,0,0,0,2,1,34,66,0,0,0,1
1,2,0,60,1,1,3,2,0,0,0,0,0,3,0,0,0,0,1,0
0,2,38.3,40,2,0,1,1,0,0,0,0,0,0,37,57,0,0,0,1
1,1,38,140,3,2,1,1,3,1,0,0,3,1,39,5.3,0,0,1,1
1,2,37.8,52,3,1,2,1,0,0,1,2,3,3,48,6.6,1,3.7,1,0
1,2,0,70,3,0,2,2,3,1,1,0,0,3,36,7.3,0,0,1,1
1,2,38.3,52,0,1,2,1,0,0,0,0,2,0,43,6.1,0,0,1,1
0,2,37.3,50,3,2,2,1,3,1,0,0,2,0,44,7,0,0,0,1
1,2,38.7,60,1,1,1,2,0,3,0,0,0,3,53,64,3,2,1,0
1,1,38.4,84,2,1,1,1,3,2,0,0,0,0,36,6.6,2,2.8,1,0
1,2,0,70,2,0,4,2,3,1,1,0,0,3,60,7.5,0,0,1,0
1,2,38.3,40,2,0,0,1,3,1,0,0,0,0,38,58,1,2,1,1
1,2,0,40,4,2,1,1,3,0,0,0,0,3,39,56,0,0,1,1
1,2,36.8,60,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
1,2,38.4,44,2,0,3,0,0,2,1,0,0,3,50,77,0,0,1,1
0,2,0,0,2,2,1,1,3,1,0,0,0,0,45,70,0,0,0,1
1,2,38,44,3,2,1,1,3,2,1,0,0,3,42,65,0,0,1,1
0,2,39.5,0,2,1,3,2,0,2,0,2,0,3,0,6.7,1,0,1,0
1,2,36.5,78,3,0,1,1,3,0,0,0,0,0,34,75,2,1,1,1
0,2,38.1,56,4,2,1,1,3,0,0,0,0,0,46,70,0,0,0,1
1,2,39.4,54,3,2,1,1,3,1,0,0,1,3,39,6,2,0,1,1
1,2,38.3,80,0,0,3,2,3,0,0,1,2,3,67,10.2,2,1,1,0
0,2,38.7,40,4,2,1,1,3,0,0,0,2,0,39,62,1,1,0,1
1,2,38.2,64,3,2,2,1,0,2,1,0,0,3,45,7.5,1,2,1,0
0,2,37.6,48,2,2,3,1,3,2,1,0,2,1,37,5.5,0,0,1,0
1,2,38,42,1,2,1,1,3,1,1,1,0,3,41,7.6,0,0,1,1
1,2,38.7,0,2,2,2,1,0,1,0,0,0,0,33,6.5,2,0,1,1
1,2,37.4,50,2,1,0,1,0,0,1,0,2,0,45,7.9,2,1,1,1
1,2,37.4,84,0,0,2,1,3,2,0,0,0,0,31,61,0,1,0,0
1,2,38.4,49,0,0,1,1,0,0,1,0,0,0,44,7.6,0,0,1,1
1,2,37.8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,37.6,88,2,2,1,1,3,1,0,2,0,0,44,6,0,0,1,0
0,2,37.9,40,3,2,1,1,3,0,0,0,0,2,40,5.7,0,0,1,1
1,2,0,100,2,0,3,2,0,0,1,0,3,0,59,6.3,0,0,1,0
1,1,38.1,136,2,1,2,1,3,2,1,1,3,0,33,4.9,2,2.9,1,0
1,2,0,0,2,1,2,2,3,2,2,1,0,3,46,5.9,0,0,1,0
1,2,38,48,3,2,1,1,2,3,1,1,0,3,0,0,0,0,1,1
0,2,38,56,3,3,2,1,3,0,0,0,2,1,42,71,0,0,0,1
0,2,38,60,3,2,0,1,3,0,0,0,0,0,50,7,1,1,0,1
1,2,38.1,44,2,2,1,1,2,0,0,0,0,3,31,7.3,0,0,0,1
0,2,36,42,0,0,4,1,0,0,0,0,0,0,64,6.8,0,0,0,0
1,2,0,120,1,1,3,2,0,3,0,0,0,3,57,4.5,3,3.9,1,0
1,2,37.8,48,3,2,1,2,2,0,1,0,2,1,46,5.9,2,7,0,1
1,2,37.1,84,2,1,3,1,0,3,2,1,0,3,75,81,0,0,0,0
0,2,0,80,2,1,1,1,3,2,1,0,1,0,50,80,0,0,1,1
1,2,38.2,48,3,1,2,1,0,3,0,2,0,3,42,71,0,0,1,1
0,2,38,44,4,2,2,1,0,2,0,1,2,3,33,6.5,0,0,1,0
1,2,38.3,132,0,1,3,2,0,1,1,2,0,3,57,8,0,5.2,1,1
0,2,38.7,48,0,0,0,0,3,0,0,0,2,0,34,63,0,0,0,1
0,2,38.9,44,2,2,1,1,3,1,0,0,0,4,33,64,0,0,0,1
1,2,39.3,0,1,1,3,2,0,1,0,2,0,3,75,0,3,4.3,1,0
1,2,0,100,2,1,3,2,0,3,1,0,0,0,68,64,3,2,1,1
0,2,38.6,48,2,2,1,1,3,1,1,0,1,4,50,7.3,1,0,0,1
0,2,38.8,48,3,2,2,1,3,3,1,0,0,3,41,65,0,0,1,1
0,2,38,48,2,1,3,1,0,1,1,0,0,4,49,8.3,1,0,0,1
0,2,38.6,52,3,2,1,1,3,1,0,0,2,2,36,6.6,1,5,0,1
1,2,37.8,60,3,0,2,2,0,3,1,2,0,3,52,75,0,0,1,0
0,2,38,42,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,3,2,1,1,3,1,2,0,2,2,44,7.5,2,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,3,35,58,2,1,1,1
1,2,38.3,42,0,0,0,1,0,0,0,0,0,0,40,8.5,0,0,1,0
0,2,39.5,60,2,0,0,2,3,1,1,0,1,0,38,56,1,0,0,1
1,2,38,66,3,1,2,1,3,0,0,0,1,0,46,46,3,2,1,0
1,2,38.7,76,3,2,4,2,3,1,1,1,0,3,50,8,0,0,1,1
1,2,39.4,120,0,0,4,1,3,2,0,0,0,0,56,64,1,2,0,0
1,2,38.3,40,3,2,1,1,3,0,0,0,3,1,43,5.9,1,0,0,1
0,2,0,44,3,2,1,1,3,0,1,0,0,1,0,6.3,0,0,0,1
1,2,38.4,104,3,2,2,1,0,1,1,2,0,3,55,8.5,0,0,1,1
1,2,0,65,0,0,0,2,0,3,2,0,0,3,0,0,0,0,1,0
0,2,37.5,44,3,2,2,1,3,0,0,0,2,0,35,7.2,0,0,0,1
0,2,39,86,2,1,4,0,3,2,0,1,0,0,68,5.8,3,6,1,0
1,2,38.5,129,2,1,2,1,0,2,0,2,0,0,57,66,3,2,1,1
1,2,0,104,2,1,4,2,0,2,0,2,0,3,69,8.6,2,3.4,1,0
0,2,0,0,2,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,2,38.2,60,3,2,2,1,3,0,1,0,1,4,48,66,0,0,1,1
1,2,0,68,0,0,3,1,0,0,0,0,0,0,0,0,2,2.8,1,0
1,2,0,60,2,1,3,2,0,3,0,0,0,0,45,70,3,2,1,1
0,2,38.5,100,2,1,4,2,3,3,1,0,0,3,0,0,0,0,0,0
1,2,38.4,84,2,2,4,2,3,2,1,2,0,3,47,7.5,3,0,1,0
0,2,37.8,48,0,0,1,1,0,1,0,2,2,0,35,7.5,0,0,0,1
1,2,38,0,2,1,3,2,0,3,0,0,0,0,68,7.8,0,0,1,0
0,2,37.8,56,3,2,1,1,3,0,1,0,2,0,44,68,1,1,0,1
0,2,38.2,68,4,3,1,1,3,0,2,0,2,1,43,65,0,0,0,1
1,2,38.5,120,1,1,3,2,3,0,0,0,0,0,54,0,0,0,1,1
1,2,39.3,64,4,1,1,1,3,0,0,1,0,0,39,6.7,0,0,1,1
1,2,38.4,80,1,1,1,1,3,2,2,2,0,3,32,6.1,3,4.3,1,1
1,2,38.5,60,3,2,0,1,3,0,0,0,0,0,33,53,1,0,1,1
1,2,38.3,60,2,2,1,1,3,0,1,1,2,3,30,6,1,3,1,1
1,2,37.1,40,0,2,3,1,3,0,0,0,1,2,23,6.7,3,0,1,1
0,1,0,100,4,2,1,1,3,0,0,0,2,0,37,4.7,0,0,0,1
1,2,38.2,48,3,2,1,1,3,2,0,1,0,0,48,74,1,2,1,1
1,2,0,60,2,1,3,2,3,3,0,0,0,0,58,7.6,0,0,1,0
0,2,37.9,88,3,2,1,1,2,0,0,0,0,1,37,56,0,0,0,1
0,2,38,44,2,2,1,0,3,1,0,0,2,0,42,64,0,0,0,1
0,2,38.5,60,3,2,4,2,2,0,1,0,3,2,63,7.5,2,2.3,0,0
0,2,38.5,96,2,1,0,2,0,1,0,1,0,3,70,8.5,0,0,1,0
0,2,38.3,60,3,2,1,2,3,0,0,0,1,0,34,66,0,0,0,1
0,2,38.5,60,2,2,1,1,3,1,0,0,1,4,49,59,0,0,0,1
1,2,37.3,48,3,0,2,1,3,2,1,0,1,2,40,6.6,2,0,1,1
1,2,38.5,86,3,2,2,1,0,2,1,0,1,3,45,7.4,1,3.4,1,0
1,2,37.5,48,0,0,0,0,0,0,0,0,0,3,41,55,3,2,1,0
0,2,37.2,36,3,2,1,1,3,0,1,0,0,1,35,5.7,0,0,0,1
1,2,39.2,0,2,2,2,1,0,1,1,0,0,0,36,6.6,1,3,1,1
0,2,38.5,100,2,1,4,2,3,3,1,0,0,3,0,0,0,0,0,0
1,2,38.5,96,4,1,3,2,0,2,1,0,1,3,50,65,0,0,1,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,45,8.7,0,0,1,0
1,2,37.8,88,2,1,4,2,3,2,1,2,0,3,64,89,0,0,1,0
0,2,37.5,44,2,2,1,1,3,1,1,0,1,2,43,51,1,1,0,1
1,2,37.9,68,0,2,1,1,0,1,0,0,2,3,45,4,3,2.8,1,0
1,2,38,86,1,1,3,1,0,3,0,0,0,3,45,5.5,1,10.1,1,0
1,1,38.9,120,3,1,1,2,3,2,2,0,0,0,47,6.3,1,0,0,1
1,2,37.6,45,2,2,2,1,2,1,1,0,2,3,39,7,2,1.5,1,1
0,2,38.6,56,4,2,1,1,3,0,1,0,3,0,40,7,2,2.1,0,1
1,2,37.8,40,3,2,1,1,2,0,1,0,2,4,38,7,0,0,1,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,38,76,0,0,0,2,0,0,0,0,0,0,71,11,0,0,1,1
1,2,38.1,40,3,3,1,1,2,0,0,0,0,0,0,0,0,0,1,0
1,2,0,52,2,1,3,1,0,2,1,0,0,3,37,8.1,0,0,1,1
1,2,39.2,88,1,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0
1,2,38.5,92,1,1,0,1,0,2,0,0,0,0,46,67,2,2,1,1
1,2,0,112,1,0,3,1,3,0,1,0,0,3,60,6.3,3,0,1,1
1,2,37.7,66,3,2,2,1,3,1,1,0,0,3,31.5,6.2,2,1.6,1,1
1,2,38.8,50,3,2,1,1,3,0,0,0,1,3,38,58,0,0,1,1
0,2,38.4,54,3,2,1,1,3,0,1,0,1,4,49,7.2,1,8,0,1
1,2,39.2,120,1,1,4,2,3,2,0,2,0,3,60,8.8,3,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,6.5,2,0,1,1
1,2,37.3,90,2,0,3,2,0,2,1,1,2,3,65,50,3,2,1,0
1,1,38.5,120,0,0,0,0,3,0,1,0,2,0,35,54,1,1,1,1
1,2,38.5,104,2,1,0,1,3,3,0,0,0,0,0,0,0,0,1,1
0,2,39.5,92,2,1,3,1,0,0,0,2,0,0,72,6.4,0,3.6,0,0
1,2,38.5,30,0,0,0,0,0,0,0,0,0,0,40,7.7,0,0,1,1
1,2,38.3,72,1,1,2,2,3,2,1,0,1,3,43,7,2,3.9,1,1
0,2,37.5,48,1,2,2,1,2,0,0,0,2,1,48,8.6,0,0,0,1
1,2,38.1,52,3,2,4,1,3,0,1,2,2,0,54,7.5,2,2.6,1,0
0,2,38.2,42,3,2,1,1,3,1,0,0,2,0,36,6.9,0,0,0,1
0,2,37.9,54,4,2,4,1,3,0,0,0,0,4,47,54,3,1,0,1
0,2,36.1,88,2,1,2,1,3,1,1,2,0,3,45,7,3,4.8,1,0
1,2,38.1,70,0,2,0,1,3,0,0,0,0,3,36,65,0,0,1,0
1,2,38,90,1,1,3,2,0,3,0,0,0,3,55,6.1,0,0,1,0
1,2,38.2,52,3,2,1,1,2,0,0,0,2,0,43,8.1,0,0,0,1
1,2,0,36,3,2,3,1,3,2,1,2,0,3,41,5.9,0,0,1,0
1,2,38.4,92,3,0,0,2,3,2,0,0,2,0,0,0,0,0,1,1
1,1,38.2,124,3,1,1,1,3,3,0,0,0,0,47,8,1,0,1,1
0,2,0,96,2,1,2,2,0,3,0,0,0,3,60,0,0,0,1,0
1,2,37.6,68,2,0,2,1,2,3,1,1,2,3,47,7.2,1,0,1,1
1,2,38.1,88,2,1,3,1,0,2,1,0,1,3,41,4.6,0,0,1,0
1,2,38,108,4,1,3,1,3,2,1,0,1,3,0,0,3,0,1,1
0,2,38.2,48,4,0,1,2,3,0,1,0,0,4,34,6.6,0,0,0,1
1,2,39.3,100,1,0,3,1,0,0,0,2,0,3,66,13,3,2,1,0
0,2,36.6,42,2,1,1,1,0,0,0,0,0,3,52,7.1,0,0,1,0
1,1,38.8,124,2,2,1,1,3,3,0,0,0,3,50,7.6,3,0,1,0
0,2,0,112,2,1,3,2,0,1,0,0,0,0,40,5.3,3,2.6,0,1
1,2,0,80,2,1,2,1,0,3,0,0,0,3,43,70,0,0,1,1
1,1,38.8,184,3,0,1,1,3,2,0,0,3,0,33,3.3,0,0,1,0
1,2,37.5,72,4,2,1,1,3,0,0,0,2,0,35,65,2,2,1,0
1,2,38.7,96,2,1,3,1,0,0,0,2,0,0,64,9,0,0,1,0
0,2,37.5,52,3,2,1,1,3,1,1,0,1,3,36,61,1,1,0,1
1,2,40.8,72,2,1,1,1,3,0,1,0,0,0,54,7.4,3,0,1,0
0,2,38,40,0,2,1,1,3,1,0,0,0,0,37,69,0,0,0,1
0,2,38.4,48,4,2,1,1,0,1,1,0,0,4,39,6.5,0,0,0,1
0,1,38.6,88,0,0,0,0,0,0,0,0,0,0,35,5.9,0,0,0,1
1,2,37.1,75,0,0,2,2,0,1,1,2,0,3,48,7.4,3,3.2,1,0
1,2,38.3,44,2,2,1,1,3,2,1,0,2,3,44,6.5,2,4.4,1,1
0,2,0,56,2,2,1,1,3,0,1,0,2,0,40,6,0,0,1,0
0,2,38.6,68,4,2,2,1,3,1,0,0,2,3,38,6.5,1,0,0,1
0,2,38.3,54,2,2,1,1,3,1,0,2,0,3,44,7.2,3,0,0,1
1,2,38.2,42,0,0,1,1,3,0,0,0,1,0,47,60,0,0,0,1
1,2,39.3,64,4,1,1,1,3,0,0,1,2,3,39,6.7,0,0,1,1
1,2,37.5,60,2,1,1,1,3,1,1,1,1,3,35,6.5,0,0,1,0
1,2,37.7,80,2,1,3,1,0,0,1,2,1,1,50,55,3,2,1,1
1,2,0,100,2,1,3,2,0,3,2,2,0,3,52,6.6,0,0,1,1
1,2,37.7,120,2,1,2,1,3,2,0,0,0,0,65,7,3,0,1,0
1,2,0,76,0,1,0,0,0,3,0,0,0,3,0,0,0,0,1,0
1,1,38.8,150,3,1,3,2,3,1,0,0,0,0,50,6.2,0,0,1,0
1,2,38,36,2,2,1,1,2,1,2,2,1,0,37,75,2,1,0,0
0,2,36.9,50,4,1,2,1,3,1,2,0,0,0,37.5,6.5,0,0,0,1
0,2,37.8,40,3,2,1,1,3,0,0,0,2,1,37,6.8,0,0,0,1
0,2,38.2,56,1,1,1,1,0,2,1,1,0,0,47,7.2,1,2.5,0,1
1,2,38.6,48,0,0,1,0,3,0,0,0,0,0,36,67,0,0,0,1
0,2,40,78,2,1,4,1,3,0,0,0,0,1,66,6.5,0,0,1,0
1,2,0,70,2,0,4,2,3,1,1,0,0,3,60,7.5,0,0,1,0
1,2,38.2,72,0,0,0,0,0,0,0,0,0,0,35,6.4,0,0,1,1
0,2,38.5,54,3,2,1,1,3,0,1,0,2,0,40,6.8,2,7,0,1
1,2,38.5,66,3,2,1,1,3,0,1,0,0,3,40,6.7,1,0,1,1
0,2,37.8,82,2,2,1,2,0,2,0,2,0,0,50,7,0,0,1,0
0,1,39.5,84,0,0,0,1,0,0,0,0,0,0,28,5,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,2,38,50,0,2,1,1,2,1,0,0,1,0,39,6.6,1,5.3,1,1
0,2,38.6,45,4,2,1,1,3,0,0,0,2,1,43,58,0,0,0,1
1,2,38.9,80,2,1,2,1,3,2,1,1,1,1,54,6.5,3,0,1,0
1,2,37,66,3,1,1,1,3,2,0,0,2,3,35,6.9,2,0,1,0
1,2,0,78,2,1,2,1,3,0,1,0,0,3,43,62,0,2,0,0
0,2,38.5,40,3,2,1,1,3,0,0,0,1,4,37,67,0,0,0,1
1,2,0,120,1,0,3,2,0,0,0,0,0,3,55,65,0,0,0,0
0,2,37.2,72,2,3,3,2,3,2,2,0,0,3,44,0,3,3.3,1,0
1,2,37.5,72,1,1,3,1,0,2,1,0,1,3,60,6.8,0,0,1,0
1,2,36.5,100,2,1,2,1,3,2,2,0,0,3,50,6,3,3.4,1,1
1,2,37.2,40,0,0,0,0,0,0,0,0,0,1,36,62,1,1,0,0
